type;marque;modele;;;;identifiant;;;;;;;;
Voiture;ALEKO;ALEKO;;;;1;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALEKO  ', 1);";;;;;;;
Voiture;ALEKO;AUTRE;;;;1;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 1);";;;;;Marque;identifiant;
Voiture;ALFA ROMEO;147;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('147  ', 2);";;;;voiture;ALEKO;1;"INSERT INTO marque (lib_marque) VALUES ('ALEKO');"
Voiture;ALFA ROMEO;156;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('156  ', 2);";;;;;ALFA ROMEO;2;"INSERT INTO marque (lib_marque) VALUES ('ALFA ROMEO');"
Voiture;ALFA ROMEO;156 SPORTWAGON;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('156 SPORTWAGON  ', 2);";;;;;ALPINE RENAULT;3;"INSERT INTO marque (lib_marque) VALUES ('ALPINE RENAULT');"
Voiture;ALFA ROMEO;159;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('159  ', 2);";;;;;ARO;4;"INSERT INTO marque (lib_marque) VALUES ('ARO');"
Voiture;ALFA ROMEO;159 SW;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('159 SW  ', 2);";;;;;ASIA;5;"INSERT INTO marque (lib_marque) VALUES ('ASIA');"
Voiture;ALFA ROMEO;166;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('166  ', 2);";;;;;ASTON MARTIN;6;"INSERT INTO marque (lib_marque) VALUES ('ASTON MARTIN');"
Voiture;ALFA ROMEO;4C;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('4C  ', 2);";;;;;AUDI;7;"INSERT INTO marque (lib_marque) VALUES ('AUDI');"
Voiture;ALFA ROMEO;ALFA;145;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 145 ', 2);";;;;;AUSTIN;8;"INSERT INTO marque (lib_marque) VALUES ('AUSTIN');"
Voiture;ALFA ROMEO;ALFA;146;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 146 ', 2);";;;;;AUTOBIANCHI;9;"INSERT INTO marque (lib_marque) VALUES ('AUTOBIANCHI');"
Voiture;ALFA ROMEO;ALFA;155;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 155 ', 2);";;;;;AUVERLAND;10;"INSERT INTO marque (lib_marque) VALUES ('AUVERLAND');"
Voiture;ALFA ROMEO;ALFA;164;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 164 ', 2);";;;;;BEDFORD;11;"INSERT INTO marque (lib_marque) VALUES ('BEDFORD');"
